Name, DOB, Term, Party, Election, Vice-President, Img 
John F. Kennedy,(1917–1963),"January 20, 1961–November 22, 1963[e]","Democratic", "1960", "Lyndon B. Johnson",  https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/John_F._Kennedy%2C_White_House_color_photo_portrait.jpg/160px-John_F._Kennedy%2C_White_House_color_photo_portrait.jpg 
Lyndon B. Johnson,(1908–1973),"November 22, 1963[s]–January 20, 1969","Democratic", "–,1964", "Vacant throughJanuary 20, 1965,Hubert Humphrey",  https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/37_Lyndon_Johnson_3x4.jpg/160px-37_Lyndon_Johnson_3x4.jpg 
Richard Nixon,(1913–1994),"January 20, 1969–August 9, 1974[h]","Republican", "1968,1972", "Spiro Agnew[h],Vacant:October 10 – December 6, 1973,Gerald Ford[t]",  https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Richard_Nixon_presidential_portrait_%281%29.jpg/160px-Richard_Nixon_presidential_portrait_%281%29.jpg 
Gerald Ford,(1913–2006),"August 9, 1974[u]–January 20, 1977","Republican", "–", "Vacant throughDecember 19, 1974,Nelson Rockefeller[t]",  https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Gerald_Ford_presidential_portrait.jpg/160px-Gerald_Ford_presidential_portrait.jpg 
Jimmy Carter,(b. 1924),"January 20, 1977–January 20, 1981","Democratic", "1976", "Walter Mondale",  https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/JimmyCarterPortrait2.jpg/160px-JimmyCarterPortrait2.jpg 
Ronald Reagan,(1911–2004),"January 20, 1981–January 20, 1989","Republican", "1980,1984", "George H. W. Bush",  https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Official_Portrait_of_President_Reagan_1981.jpg/160px-Official_Portrait_of_President_Reagan_1981.jpg 
George H. W. Bush,(1924–2018),"January 20, 1989–January 20, 1993","Republican", "1988", "Dan Quayle",  https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/George_H._W._Bush_presidential_portrait_%28cropped%29.jpg/160px-George_H._W._Bush_presidential_portrait_%28cropped%29.jpg 
Bill Clinton,(b. 1946),"January 20, 1993–January 20, 2001","Democratic", "1992,1996", "Al Gore",  https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Bill_Clinton.jpg/160px-Bill_Clinton.jpg 
George W. Bush,(b. 1946),"January 20, 2001–January 20, 2009","Republican", "2000,2004", "Dick Cheney",  https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/George-W-Bush.jpeg/160px-George-W-Bush.jpeg 
Barack Obama,(b. 1961),"January 20, 2009–January 20, 2017","Democratic", "2008,2012", "Joe Biden",  https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Official_portrait_of_Barack_Obama.jpg/160px-Official_portrait_of_Barack_Obama.jpg 
Donald Trump,(b. 1946),"January 20, 2017–January 20, 2021","Republican", "2016", "Mike Pence",  https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Donald_Trump_official_portrait.jpg/160px-Donald_Trump_official_portrait.jpg 
Joe Biden,(b. 1942),"January 20, 2021–Incumbent","Democratic", "2020", "Kamala Harris",  https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Joe_Biden_presidential_portrait.jpg/160px-Joe_Biden_presidential_portrait.jpg 
